ds,servers,candidate_1,candidate_2,candidate_3
2023-05-20 00:03:17,5,7,0,0
2023-05-20 00:08:17,5,7,0,0
2023-05-20 00:13:17,5,7,0,0
2023-05-20 00:18:17,5,7,0,0
2023-05-20 00:23:17,5,7,0,0
2023-05-20 00:28:17,5,7,0,0
2023-05-20 00:33:17,5,7,0,0
2023-05-20 00:38:17,5,7,0,0
2023-05-20 00:43:17,5,8,0,0
2023-05-20 00:48:17,5,8,0,0
2023-05-20 00:53:17,5,8,0,0
2023-05-20 00:58:17,6,8,0,0
2023-05-20 01:03:17,6,8,0,0
2023-05-20 01:08:17,6,8,0,0
2023-05-20 01:13:17,6,8,0,0
2023-05-20 01:18:17,6,9,0,0
2023-05-20 01:23:17,6,9,0,0
2023-05-20 01:28:17,6,9,0,0
2023-05-20 01:33:17,6,9,0,0
2023-05-20 01:38:17,6,9,0,0
2023-05-20 01:43:17,6,9,0,0
2023-05-20 01:48:17,6,9,0,0
2023-05-20 01:53:17,6,9,0,0
2023-05-20 01:58:17,6,9,0,0
2023-05-20 02:03:17,7,10,0,0
2023-05-20 02:08:17,7,10,0,0
2023-05-20 02:13:17,7,10,0,0
2023-05-20 02:18:17,7,10,0,0
2023-05-20 02:23:17,7,10,0,0
2023-05-20 02:28:17,7,10,0,0
2023-05-20 02:33:17,7,10,0,0
2023-05-20 02:38:17,7,10,0,0
2023-05-20 02:43:17,7,10,0,0
2023-05-20 02:48:17,7,11,0,0
2023-05-20 02:53:17,7,11,0,0
2023-05-20 02:58:17,7,11,0,0
2023-05-20 03:03:17,7,11,0,0
2023-05-20 03:08:17,7,11,0,0
2023-05-20 03:13:17,7,11,0,0
2023-05-20 03:18:17,8,11,0,0
2023-05-20 03:23:17,8,11,0,0
2023-05-20 03:28:17,8,11,0,0
2023-05-20 03:33:17,8,11,0,0
2023-05-20 03:38:17,8,11,0,0
2023-05-20 03:43:17,8,11,0,0
2023-05-20 03:48:17,8,12,0,0
2023-05-20 03:53:17,8,12,0,0
2023-05-20 03:58:17,8,12,0,0
2023-05-20 04:03:17,8,12,0,0
2023-05-20 04:08:17,8,12,0,0
2023-05-20 04:13:17,8,12,0,0
2023-05-20 04:18:17,8,12,0,0
2023-05-20 04:23:17,8,12,0,0
2023-05-20 04:28:17,8,12,0,0
2023-05-20 04:33:17,8,12,0,0
2023-05-20 04:38:17,8,12,0,0
2023-05-20 04:43:17,8,12,0,0
2023-05-20 04:48:17,8,12,0,0
2023-05-20 04:53:17,8,12,0,0
2023-05-20 04:58:17,8,12,0,0
2023-05-20 05:03:17,8,12,0,0
2023-05-20 05:08:17,8,12,0,0
2023-05-20 05:13:17,8,12,0,0
2023-05-20 05:18:17,8,12,0,0
2023-05-20 05:23:17,8,12,0,0
2023-05-20 05:28:17,8,12,0,0
2023-05-20 05:33:17,8,12,0,0
2023-05-20 05:38:17,8,12,0,0
2023-05-20 05:43:17,8,12,0,0
2023-05-20 05:48:17,8,12,0,0
2023-05-20 05:53:17,8,12,0,0
2023-05-20 05:58:17,8,12,0,0
2023-05-20 06:03:17,8,12,0,0
2023-05-20 06:08:17,8,12,0,0
2023-05-20 06:13:17,8,12,0,0
2023-05-20 06:18:17,8,12,0,0
2023-05-20 06:23:17,8,12,0,0
2023-05-20 06:28:17,8,12,0,0
2023-05-20 06:33:17,8,12,0,0
2023-05-20 06:38:17,8,12,0,0
2023-05-20 06:43:17,8,12,0,0
2023-05-20 06:48:17,8,12,0,0
2023-05-20 06:53:17,8,12,0,0
2023-05-20 06:58:17,8,12,0,0
2023-05-20 07:03:17,8,12,0,0
2023-05-20 07:08:17,8,12,0,0
2023-05-20 07:13:17,8,12,0,0
2023-05-20 07:18:17,8,12,0,0
2023-05-20 07:23:17,8,12,0,0
2023-05-20 07:28:17,8,12,0,0
2023-05-20 07:33:17,8,12,0,0
2023-05-20 07:38:17,8,12,0,0
2023-05-20 07:43:17,8,12,0,0
2023-05-20 07:48:17,8,12,0,0
2023-05-20 07:53:17,8,12,0,0
2023-05-20 07:58:17,8,12,0,0
2023-05-20 08:03:17,8,12,0,0
2023-05-20 08:08:17,8,12,0,0
2023-05-20 08:13:17,8,12,0,0
2023-05-20 08:18:17,8,11,0,0
2023-05-20 08:23:17,8,11,0,0
2023-05-20 08:28:17,8,11,0,0
2023-05-20 08:33:17,8,11,0,0
2023-05-20 08:38:17,8,11,0,0
2023-05-20 08:43:17,8,11,0,0
2023-05-20 08:48:17,7,11,0,0
2023-05-20 08:53:17,7,11,0,0
2023-05-20 08:58:17,7,11,0,0
2023-05-20 09:03:17,7,11,0,0
2023-05-20 09:08:17,7,11,0,0
